Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
6385,3406,Directed,109546,,,1,LYI,PVG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6356,3371,Directed,109548,,,1,LZH,CSX,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6356,3406,Directed,109549,,,1,LZH,PVG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6356,3391,Directed,109550,,,1,LZH,SHA,,0,321,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6356,4030,Directed,109551,,,1,LZH,SYX,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6356,3376,Directed,109552,,,1,LZH,WUH,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6399,3386,Directed,109553,,,1,LZO,HGH,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6399,3382,Directed,109554,,,1,LZO,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6399,3364,Directed,109555,,,1,LZO,PEK,,0,737 319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6399,3406,Directed,109556,,,1,LZO,PVG,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
