Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
6346,3388,Directed,109018,,,1,BAV,NKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3885,3395,Directed,109025,,,2,BKK,CTU,,0,333,TG,Thai Airways International,\N,TG,THA,THAI,Thailand,Y,
3885,3382,Directed,109026,,,2,BKK,KMG,,0,333,TG,Thai Airways International,\N,TG,THA,THAI,Thailand,Y,
3885,3387,Directed,109027,,,1,BKK,NGB,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3370,6376,Directed,109040,,,1,CAN,LUM,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3043,3382,Directed,109055,,,1,CCU,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3932,3382,Directed,109059,,,1,CEI,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3375,3387,Directed,109065,,,1,CGO,NGB,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3375,3388,Directed,109066,,,1,CGO,NKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4380,3379,Directed,109073,,,1,CGQ,XIY,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6772,3404,Directed,109075,,,1,CHG,DLC,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6342,3400,Directed,109077,,,1,CIF,HRB,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6342,3388,Directed,109079,,,1,CIF,NKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6343,3376,Directed,109083,,,1,CIH,WUH,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
2370,3387,Directed,109085,,,1,CJU,NGB,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
2370,6392,Directed,109088,,,1,CJU,WNZ,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3393,3389,Directed,109090,,,2,CKG,HFE,,0,320,PN,West Air China,\N,PN,CHB,WEST CHINA,China,Y,
3393,6378,Directed,109104,,,1,CKG,ZAT,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3024,3382,Directed,109105,,,1,CMB,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3931,3382,Directed,109107,,,1,CNX,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3371,6356,Directed,109113,,,1,CSX,LZH,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3371,6390,Directed,109119,,,2,CSX,WUX,,0,738,ZH,Shenzhen Airlines,\N,ZH,CSZ,SHENZHEN AIR,China,Y,
3371,6393,Directed,109121,,,1,CSX,YNZ,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3395,3885,Directed,109123,,,2,CTU,BKK,,0,333,TG,Thai Airways International,\N,TG,THA,THAI,Thailand,Y,
3395,6375,Directed,109126,,,1,CTU,DIG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3395,4054,Directed,109127,,,1,CTU,DLU,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3395,8921,Directed,109131,,,1,CTU,KGT,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4109,3404,Directed,109151,,,1,CZX,DLC,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4109,6353,Directed,109152,,,1,CZX,DYG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4109,3372,Directed,109153,,,1,CZX,KWL,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4109,3379,Directed,109157,,,1,CZX,XIY,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3076,3382,Directed,109159,,,1,DAC,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3196,3382,Directed,109160,,,1,DAD,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6344,3406,Directed,109162,,,1,DAT,PVG,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6397,3406,Directed,109163,,,1,DAX,PVG,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6375,3395,Directed,109167,,,1,DIG,CTU,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6375,3381,Directed,109168,,,1,DIG,JHG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
