Id,Label,timeset,airport_id,airport_name,airport_city,airport_country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,airport_dst,airport_tz,airport_type,data_source,background_map_node,lat,lng,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
9808,,,9808,Wauchula Municipal Airport,Wuchula,United States,\N,KCHN,27.5149,-81.880501,106,-5,A,America/New_York,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3461,0,0.000039,3448,3489,0,0
9818,,,9818,Lilydale Airport,Lilydale,Australia,\N,YLIL,-37.6917,145.367004,76,10,O,Australia/Hobart,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3462,0,0.000039,3449,3490,0,0
9819,,,9819,Beni Mellal Airport,Beni Mellal,Morocco,BEM,GMMD,32.401895,-6.315905,1694,0,E,Africa/Casablanca,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3463,0,0.000039,3450,3491,0,0
9820,,,9820,Şırnak Şerafettin Elçi Airport,Cizre,Turkey,NKT,LTCV,37.3647,42.0582,2038,3,E,Europe/Istanbul,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3464,0,0.000039,3451,3492,0,0
9821,,,9821,Suntar Airport,Suntar,Russia,SUY,UENS,62.185001,117.635002,452,9,N,Asia/Yakutsk,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3465,0,0.000039,3452,3493,0,0
9824,,,9824,Tazadit Airport,Zouerat,Mauritania,OUZ,GQPZ,22.756399,-12.4836,1129,0,N,Africa/Nouakchott,airport,OurAirports,,,,3,3,6,3,3,6,9,0.254258,0.268066,63.562144,0.000988,0.000996,1034,0.666667,0.000077,0,19,0.666667,0.006066
9825,,,9825,Asaba International Airport,Asaba,Nigeria,ABB,DNAS,6.204167,6.665278,305,1,N,Africa/Lagos,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3466,0,0.000039,3453,3494,0,0
9826,,,9826,Akwa Ibom International Airport,Uyo,Nigeria,QUO,DNAI,4.8725,8.093,170,1,N,Africa/Lagos,airport,OurAirports,,,,1,1,2,1,1,2,9,0.247904,0.260328,0,0.000363,0.000377,1034,0,0.000051,0,19,0,0.002521
9828,,,9828,Kasama Airport,Kasama,Zambia,KAA,FLKS,-10.2167,31.133301,4541,2,N,Africa/Lusaka,airport,OurAirports,,,,1,1,2,1,1,2,10,0.209741,0.217768,0,0.000083,0.000013,1034,1,0.000055,0,19,1,0.001069
9829,,,9829,Mbeya Airport,Mbeya,Tanzania,\N,HTMB,-8.919444,33.463889,5600,3,N,Africa/Dar_es_Salaam,airport,OurAirports,,,,1,1,2,1,1,2,9,0.236176,0.246327,0,0.000128,0.000085,1034,0,0.000053,0,19,0,0.001007
9830,,,9830,Mpanda Airport,Mpanda,Tanzania,\N,HTMP,-6.355374,31.084116,3520,3,N,Africa/Dar_es_Salaam,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3467,0,0.000039,3454,3495,0,0
9831,,,9831,Songea Airport,Songea,Tanzania,SGX,HTSO,-10.683,35.583,3445,3,N,Africa/Dar_es_Salaam,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3468,0,0.000039,3455,3496,0,0
9832,,,9832,Morogoro Airport,Morogoro,Tanzania,\N,HTMG,-6.79722,37.653099,1676,3,N,Africa/Dar_es_Salaam,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3469,0,0.000039,3456,3497,0,0
9844,,,9844,Anshan Air Base,Anshan,China,AOG,ZYAS,41.105301,122.853996,0,8,N,Asia/Shanghai,airport,OurAirports,,,,2,2,4,3,3,6,8,0.281317,0.299453,0,0.002042,0.002036,1538,1,0.000059,0,19,1,0.015379
9846,,,9846,Zunyi Xinzhou Airport,Zunyi,China,ZYI,ZUZY,27.5895,107.0007,2920,8,N,Asia/Shanghai,airport,OurAirports,,,,13,13,26,15,15,30,8,0.286406,0.306542,0.459122,0.004203,0.004197,1538,0.935897,0.000127,0,19,0.929487,0.041464
9847,,,9847,Conway Horry County Airport,Conway,United States,\N,KHYW,33.828499,-79.1222,35,-5,A,America/New_York,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3470,0,0.000039,3457,3498,0,0
9848,,,9848,Lindu Airport,Yinchun,China,LDS,ZYLD,47.752056,129.019125,791,8,N,Asia/Shanghai,airport,OurAirports,,,,2,2,4,2,2,4,9,0.230126,0.242675,0,0.00034,0.000328,1538,1,0.000052,0,19,1,0.003949
9849,,,9849,Anshun Huangguoshu Airport,Anshun,China,AVA,ZUAS,26.260556,105.873333,4812,8,N,Asia/Shanghai,airport,OurAirports,,,,3,3,6,4,4,8,9,0.266809,0.283148,0,0.000857,0.000856,1538,1,0.000066,0,19,1,0.008912
9850,,,9850,Sikasso Airport,Sikasso,Mali,KSS,GASK,11.333,-5.7,1378,0,N,Africa/Bamako,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3471,0,0.000039,3458,3499,0,0
9853,,,9853,Toowoomba Wellcamp Airport,Toowoomba,Australia,WTB,YBWW,-27.558332,151.793335,1509,10,N,Australia/Brisbane,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3472,0,0.000039,3459,3500,0,0
9854,,,9854,Tonghua Sanyuanpu Airport,Tonghua,China,TNH,ZYTN,42.253889,125.703333,1200,8,N,Asia/Shanghai,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3473,0,0.000039,3460,3501,0,0
9857,,,9857,Suzhou Guangfu Airport,Suzhou,China,SZV,ZSSZ,31.2631,120.401001,0,8,N,Asia/Shanghai,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3474,0,0.000039,3461,3502,0,0
9860,,,9860,City Airport Manchester,Manchester,United Kingdom,\N,EGCB,53.471699,-2.38972,73,0,U,Europe/London,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3475,0,0.000039,3462,3503,0,0
9861,,,9861,Sleap Airport,Shrewsbury,United Kingdom,\N,EGCV,52.8339,-2.77167,275,0,U,Europe/London,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3476,0,0.000039,3463,3504,0,0
9862,,,9862,Tatenhill Airfield,Burton-on-Trent,United Kingdom,\N,EGBM,52.814701,-1.76111,439,0,U,Europe/London,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3477,0,0.000039,3464,3505,0,0
9863,,,9863,Full Sutton Airfield,York,United Kingdom,\N,EGNU,53.980598,-0.864722,86,0,U,Europe/London,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3478,0,0.000039,3465,3506,0,0
9864,,,9864,Sherburn-In-Elmet Airfield,Leeds,United Kingdom,\N,EGCJ,53.788458,-1.216877,26,0,U,Europe/London,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3479,0,0.000039,3466,3507,0,0
9866,,,9866,Beringin Airport,Muara Teweh,Indonesia,\N,WAOM,-0.940325,114.893875,126,7,N,Asia/Jakarta,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3480,0,0.000039,3467,3508,0,0
9868,,,9868,Mulia Airport,Mulia,Indonesia,LII,WAJM,-3.7018,137.957,6527,9,N,Asia/Jayapura,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3481,0,0.000039,3468,3509,0,0
9872,,,9872,Stenkol Airport,Bintuni,Indonesia,NTI,WASB,-2.1033,133.5164,57,9,N,Asia/Jayapura,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3482,0,0.000039,3469,3510,0,0
9873,,,9873,Wasior Airport,Wasior,Indonesia,WSR,WASW,-2.721,134.5061,49,9,N,Asia/Jayapura,airport,OurAirports,,,,0,0,0,0,0,0,0,0,0,0,0,0,3483,0,0.000039,3470,3511,0,0
